timestamp,error_count,device_id,pressure,temperature,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,heading_offset,fix_type,vel_ned_valid,satellites_used,x_mag,y_mag,z_mag,scaling,x_raw,y_raw,z_raw,is_external
1161079001,0,335369,1020.13995,21.125,32.38744928,-117.07633626,20976.8,-13467.2,0.53020006,0.75634354,1.9854001,2.7316,0.66999996,1.06,69,7,0.2088,-0.16080001,-0.121400006,-0.0692,3.7199821,0,4,1,17,0.2476709,-0.058439758,0.37824652,0.00014615609,2531,-1393,2520,1
1162097980,0,335369,1020.07996,22,32.387449,-117.07633638,21034.2,-13409.8,0.5288,0.75643975,1.9792001,2.7266002,0.66999996,1.06,69,5,0.20920001,-0.039400004,-0.065,-0.13280001,3.7199821,0,4,1,17,0.2538249,-0.05537112,0.37154686,0.00014615609,2574,-1372,2475,1
1163103984,0,335369,1020.08997,21,32.38744976,-117.07633696,21284,-13160.2,0.4846,0.75653267,1.9770001,2.7250001,0.66999996,1.06,69,2,0.1448,0.09120001,-0.0238,-0.3418,3.7199821,0,4,1,17,0.2636999,-0.057709128,0.36306062,0.00014615609,2643,-1388,2418,1
1164097101,0,335369,1020.08997,21.125,32.38745184,-117.0763365,22132,-12312,0.47100002,0.71253055,1.9752002,2.7162,0.66999996,1.06,69,3,0.47340003,0.33540002,-0.033600003,-1.2276001,3.9514813,0,4,1,17,0.24795713,-0.04631133,0.3855417,0.00014615609,2533,-1310,2569,1
1165103519,0,335369,1019.95996,21.75,32.387459,-117.07634436,23057.2,-11386.8,0.49920002,0.33622912,1.9766,2.7162,0.66999996,1.06,69,4,1.7600001,0.95360005,-1.4612001,-0.53000003,5.270718,0,4,1,17,0.24294809,-0.12638818,0.37363118,0.00014615609,2498,-1858,2489,1
1166109623,0,335369,1019.92,22,32.38746822,-117.07636226,23947.8,-10496.2,0.5018,0.2996629,1.9834001,2.7248,0.66999996,1.06,69,2,1.945,0.98440003,-1.6764001,-1.4276,5.2360516,0,4,1,17,0.2377959,-0.048210964,0.39075255,0.00014615609,2462,-1323,2604,1
1167101626,0,335369,1019.72,21.375,32.3874767,-117.07637946,25131.6,-9312.6,0.508,0.30036026,1.9884001,2.7328,0.66999996,1.06,69,2,1.9562001,1.0136001,-1.6628001,-1.4746001,5.247991,0,4,1,17,0.23006764,-0.03973568,0.39655894,0.00014615609,2408,-1265,2643,1
1168107284,0,335369,1019.49,21.5,32.38748684,-117.07639842,26548.6,-7895.4,0.5248,0.24716389,1.9952,2.7470002,0.66999996,1.06,69,3,2.3930001,1.4264001,-1.8670001,-1.5462,5.3139367,0,4,1,17,0.234218,-0.08255049,0.38777494,0.00014615609,2437,-1558,2584,1
1169112218,0,335369,1019.32996,21.75,32.38751282,-117.07642012,27648.4,-6795.6,0.5478,0.12523851,2.0026002,2.7554002,0.66999996,1.06,69,9,5.0912004,4.386,-2.582,-0.35200003,5.7165527,0,4,1,17,0.41211104,-0.12200441,0.16936588,0.00014615609,3680,-1828,1117,1
1170118284,0,335369,1019.32,22.5,32.38755908,-117.07644822,27705.4,-6738.6,0.50780004,0.0934074,2.0096002,2.7586002,0.66999996,1.06,69,2,5.7968,5.3238,-2.23,-0.13620001,5.852097,0,4,1,17,0.32867447,0.013307928,0.3127387,0.00014615609,3097,-902,2080,1
