timestamp,lat,lon,alt,date,ground speed,vel_n_m_s,vel_e_m_s,vertical speed
17460000,47.397751,8.5456074,488.542,1970-01-01 00:00:17.460000,0.06,0.07,0.01,-0.91999996
17668000,47.3977512,8.5456075,488.772,1970-01-01 00:00:17.668000,0.06,0.08,0.01,-1.29
17868000,47.3977513,8.5456075,489.041,1970-01-01 00:00:17.868000,0.049999997,0.04,0,-1.36
18072000,47.3977514,8.5456075,489.301,1970-01-01 00:00:18.720000,0.03,0.04,0.01,-1.3299999
18276000,47.3977514,8.5456076,489.591,1970-01-01 00:00:18.276000,0.02,0.03,0,-1.39
18480000,47.3977514,8.5456076,489.884,1970-01-01 00:00:18.480000,0,0.02,0,-1.41
18684000,47.3977515,8.5456076,490.175,1970-01-01 00:00:18.684000,0,-0.03,0,-1.4499999
18888000,47.3977514,8.5456076,490.464,1970-01-01 00:00:18.888000,0.01,0,0,-1.4699999
19092000,47.3977514,8.5456076,490.758,1970-01-01 00:00:19.920000,0.03,-0.01,0,-1.4
19296000,47.3977513,8.5456076,491.046,1970-01-01 00:00:19.296000,0.03,-0.02,-0.01,-1.4699999
19504000,47.3977512,8.5456075,491.34,1970-01-01 00:00:19.504000,0.03,-0.02,-0.01,-1.41
19704000,47.3977512,8.5456074,491.624,1970-01-01 00:00:19.704000,0.04,-0.04,-0.02,-1.4399999
19908000,47.3977511,8.5456074,491.921,1970-01-01 00:00:19.908000,0.04,-0.03,-0.04,-1.4399999
20112000,47.397751,8.5456073,492.218,1970-01-01 00:00:20.112000,0.049999997,-0.03,-0.02,-1.48
20316000,47.397751,8.5456072,492.527,1970-01-01 00:00:20.316000,0.049999997,-0.02,-0.01,-1.4599999
20520000,47.3977509,8.5456071,492.819,1970-01-01 00:00:20.520000,0.049999997,0,-0.03,-1.42
20724000,47.3977508,8.545607,493.106,1970-01-01 00:00:20.724000,0.04,-0.02,-0.02,-1.4599999
20928000,47.3977507,8.5456069,493.411,1970-01-01 00:00:20.928000,0.03,-0.02,-0.01,-1.4399999
21136000,47.3977507,8.5456068,493.713,1970-01-01 00:00:21.136000,0.03,-0.02,-0.01,-1.41
21336000,47.3977506,8.5456067,494.006,1970-01-01 00:00:21.336000,0.03,0,-0.01,-1.4599999
21540000,47.3977506,8.5456068,494.308,1970-01-01 00:00:21.540000,0.03,-0.049999997,-0.01,-1.42
21744000,47.3977505,8.5456068,494.613,1970-01-01 00:00:21.744000,0.03,-0.049999997,0,-1.51
21948000,47.3977505,8.5456068,494.915,1970-01-01 00:00:21.948000,0.03,-0.02,0,-1.54
22152000,47.3977504,8.5456067,495.211,1970-01-01 00:00:22.152000,0.02,-0.01,0,-1.5
22356000,47.3977504,8.5456067,495.519,1970-01-01 00:00:22.356000,0.01,-0.01,-0.03,-1.4699999
22560000,47.3977504,8.5456067,495.825,1970-01-01 00:00:22.560000,0,0,0,-1.4499999
22764000,47.3977504,8.5456067,496.145,1970-01-01 00:00:22.764000,0,0.01,0,-1.51
22968000,47.3977504,8.5456067,496.441,1970-01-01 00:00:22.968000,0,0.02,-0.03,-1.49
23172000,47.3977504,8.5456067,496.75,1970-01-01 00:00:23.172000,0,0,0.01,-1.5
23376000,47.3977504,8.5456067,497.065,1970-01-01 00:00:23.376000,0.01,0.01,0.02,-1.52
23580000,47.3977504,8.5456068,497.367,1970-01-01 00:00:23.580000,0,0,0.01,-1.5
23784000,47.3977504,8.5456068,497.665,1970-01-01 00:00:23.784000,0.01,0,0.02,-1.48
23988000,47.3977504,8.5456068,497.983,1970-01-01 00:00:23.988000,0,0,-0.01,-1.55
24192000,47.3977505,8.5456069,498.298,1970-01-01 00:00:24.192000,0.01,0,0.03,-1.54
24396000,47.3977505,8.545607,498.604,1970-01-01 00:00:24.396000,0,0,-0.01,-1.53
24600000,47.3977504,8.5456069,498.94,1970-01-01 00:00:24.600000,0,0,0,-1.79
24804000,47.3977504,8.5456069,499.333,1970-01-01 00:00:24.804000,0,0,-0.01,-2.1299999
25008000,47.3977504,8.5456068,499.835,1970-01-01 00:00:25.800000,0,0.01,0,-2.61
25212000,47.3977504,8.5456068,500.397,1970-01-01 00:00:25.212000,0,-0.01,0,-2.9299998
25416000,47.3977504,8.5456069,500.996,1970-01-01 00:00:25.416000,0.01,0.01,0,-2.98
25620000,47.3977505,8.5456069,501.602,1970-01-01 00:00:25.620000,0,0,0.01,-2.97
25824000,47.3977504,8.5456069,502.224,1970-01-01 00:00:25.824000,0.01,0,0.01,-2.96
26028000,47.3977504,8.545607,502.82,1970-01-01 00:00:26.280000,0,0,0,-2.97
26232000,47.3977504,8.545607,503.416,1970-01-01 00:00:26.232000,0.01,0.01,0.03,-2.96
26440000,47.3977504,8.545607,504.024,1970-01-01 00:00:26.440000,0,0,0,-2.97
26640000,47.3977504,8.545607,504.641,1970-01-01 00:00:26.640000,0.01,-0.01,0,-2.9199998
26844000,47.3977504,8.545607,505.261,1970-01-01 00:00:26.844000,0,0,-0.02,-2.99
27048000,47.3977503,8.545607,505.853,1970-01-01 00:00:27.480000,0.02,-0.03,-0.01,-2.99
27252000,47.3977503,8.5456069,506.457,1970-01-01 00:00:27.252000,0.01,-0.02,0,-2.96
27456000,47.3977503,8.5456068,507.08,1970-01-01 00:00:27.456000,0.02,-0.02,-0.04,-2.96
27660000,47.3977502,8.5456068,507.688,1970-01-01 00:00:27.660000,0.01,0.01,-0.02,-2.9299998
27864000,47.3977503,8.5456068,508.294,1970-01-01 00:00:27.864000,0.02,0,-0.03,-3
28068000,47.3977503,8.5456067,508.89,1970-01-01 00:00:28.680000,0.02,0,-0.04,-2.96
28272000,47.3977503,8.5456066,509.519,1970-01-01 00:00:28.272000,0.02,0,-0.01,-2.97
28476000,47.3977503,8.5456066,510.139,1970-01-01 00:00:28.476000,0.02,-0.01,-0.03,-2.99
28680000,47.3977503,8.5456065,510.732,1970-01-01 00:00:28.680000,0.02,0,-0.01,-2.98
28884000,47.3977502,8.5456064,511.339,1970-01-01 00:00:28.884000,0.02,-0.02,-0.01,-2.99
29088000,47.3977502,8.5456064,511.953,1970-01-01 00:00:29.880000,0.01,0,0,-2.8999999
29292000,47.3977502,8.5456063,512.525,1970-01-01 00:00:29.292000,0.02,0.02,-0.02,-2.6799998
29500000,47.3977502,8.5456063,513.047,1970-01-01 00:00:29.500000,0.02,0.01,-0.03,-2.47
29699999,47.3977503,8.5456062,513.538,1970-01-01 00:00:29.699999,0.02,0.02,-0.04,-2.28
29903999,47.3977502,8.5456062,513.982,1970-01-01 00:00:29.903999,0.02,0,-0.01,-2.1
30107999,47.3977502,8.545606,514.385,1970-01-01 00:00:30.107999,0.03,0,-0.04,-1.9
30312000,47.3977503,8.545606,514.746,1970-01-01 00:00:30.312000,0.02,0.01,-0.03,-1.73
30516000,47.3977503,8.545606,515.079,1970-01-01 00:00:30.516000,0.02,0.01,-0.02,-1.5799999
30720000,47.3977503,8.5456059,515.397,1970-01-01 00:00:30.720000,0.02,0,0,-1.42
30924000,47.3977504,8.5456058,515.667,1970-01-01 00:00:30.924000,0.02,-0.01,-0.03,-1.25
31128000,47.3977504,8.5456057,515.921,1970-01-01 00:00:31.128000,0.02,0.02,0,-1.15
31332000,47.3977504,8.5456056,516.145,1970-01-01 00:00:31.332000,0.01,0.01,-0.02,-1.02
31536000,47.3977504,8.5456056,516.349,1970-01-01 00:00:31.536000,0.02,0,-0.01,-0.96
31740000,47.3977504,8.5456056,516.563,1970-01-01 00:00:31.740000,0.02,0,-0.02,-0.85999995
31944000,47.3977504,8.5456056,516.734,1970-01-01 00:00:31.944000,0.01,0.02,0,-0.75
32148000,47.3977505,8.5456055,516.872,1970-01-01 00:00:32.148000,0.02,0,-0.01,-0.71
32352000,47.3977505,8.5456054,517.005,1970-01-01 00:00:32.352000,0.03,0,-0.02,-0.59999996
32560000,47.3977506,8.5456054,517.129,1970-01-01 00:00:32.560000,0.02,0.03,0,-0.59
32760000,47.3977506,8.5456053,517.257,1970-01-01 00:00:32.760000,0.02,0.01,-0.02,-0.55
32968000,47.3977506,8.5456053,517.36,1970-01-01 00:00:32.968000,0.02,0,0,-0.51
33168000,47.3977507,8.5456053,517.45,1970-01-01 00:00:33.168000,0.02,0.01,-0.02,-0.39
33372000,47.3977507,8.5456052,517.534,1970-01-01 00:00:33.372000,0.01,-0.01,0.01,-0.37
33576000,47.3977508,8.5456053,517.626,1970-01-01 00:00:33.576000,0.07,0.06,0.01,-0.26
33780000,47.397751,8.5456056,517.696,1970-01-01 00:00:33.780000,0.28,0.22,0.22,-0.32999998
